,,Date,yes_d,yes_r,no_d,no_r,polarity
113,268,2013-06-20,162,63,32,168,0.5529411764705883
113,269,2013-06-20,177,29,17,202,0.7835294117647059
113,270,2013-06-20,8,186,186,44,-0.7547169811320755
113,271,2013-06-20,1,155,193,76,-0.6376470588235295
113,272,2013-06-20,133,210,61,20,-0.2783018867924528
113,273,2013-06-20,13,184,180,47,-0.7169811320754716
113,274,2013-06-20,170,38,25,193,0.704225352112676
113,275,2013-06-20,134,74,60,157,0.36941176470588233
113,276,2013-06-20,106,68,89,163,0.26291079812206575
113,277,2013-06-20,95,196,100,35,-0.38967136150234744
113,278,2013-06-20,67,168,128,64,-0.3864168618266979
113,279,2013-06-20,40,175,155,56,-0.5492957746478874
113,280,2013-06-20,69,137,126,95,-0.23185011709601874
113,281,2013-06-20,133,97,60,134,0.25943396226415094
113,282,2013-06-20,0,175,193,57,-0.731764705882353
113,283,2013-06-20,1,226,192,6,-0.9670588235294117
113,284,2013-06-20,187,1,1,231,0.9904761904761905
113,285,2013-06-20,24,171,173,62,-0.6
113,286,2013-06-25,183,212,0,2,-0.06801007556675064
113,287,2013-06-25,182,210,0,3,-0.06329113924050633
113,288,2013-06-26,0,228,194,0,-1.0
113,289,2013-06-26,6,229,187,0,-0.9715639810426541
113,290,2013-06-27,192,21,5,208,0.8779342723004695
113,291,2013-06-27,193,1,5,227,0.971830985915493
113,292,2013-06-27,28,228,171,1,-0.8644859813084113
113,293,2013-06-27,197,226,0,0,-0.06855791962174941
113,294,2013-06-27,185,3,9,224,0.9429928741092637
113,295,2013-06-27,10,223,188,2,-0.9432624113475178
113,296,2013-06-27,23,215,174,11,-0.8392434988179669
113,297,2013-06-27,13,221,185,6,-0.9105882352941177
113,298,2013-06-28,180,3,15,220,0.9138755980861244
113,299,2013-06-28,3,214,192,10,-0.9379474940334129
113,300,2013-06-28,192,17,2,208,0.9093078758949881
113,301,2013-06-28,176,0,17,224,0.9184652278177458
113,302,2013-06-28,195,0,1,224,0.9952380952380953
113,303,2013-06-28,16,219,181,6,-0.8957345971563981
113,304,2013-07-08,146,207,24,0,-0.22546419098143236
113,305,2013-07-08,110,211,62,0,-0.4255874673629243
113,306,2013-07-08,175,212,0,1,-0.09278350515463918
113,307,2013-07-09,0,220,182,0,-1.0
113,308,2013-07-09,8,218,178,0,-0.9603960396039604
